"AccountID","AccountName","SafeName","PlatformName","Address","LastUsed","LastUsedBy","VerificationStatus","VerificationDate","RotationStatus","LastRotationDate","PasswordChangeRequired","AccessCount","UniqueUsers","HighRiskActivities","FailedAccess","LastFailedAccess","CPMStatus"
"1001","svc_app1","AppServices","WinDomain","srv-app1.contoso.com","2023-07-15T14:32:10Z","john.smith","Success","2023-07-16T02:00:00Z","Success","2023-06-30T02:00:00Z","No","24","5","2","1","2023-07-10T10:15:22Z","OK"
"1002","svc_db1","DatabaseAccounts","Oracle","db01.contoso.com","2023-07-14T08:45:29Z","jane.doe","Success","2023-07-16T02:00:00Z","Success","2023-06-30T02:00:00Z","No","45","8","0","0","","OK"
"1003","srv_admin","ServerAccounts","WinDomain","dc01.contoso.com","2023-07-16T11:20:44Z","admin.user","Success","2023-07-16T02:00:00Z","Success","2023-06-15T02:00:00Z","No","67","12","4","2","2023-07-12T16:30:15Z","OK"
"1004","root","UnixServers","UnixSSH","unix01.contoso.com","2023-07-13T15:30:19Z","system.admin","Success","2023-07-16T02:00:00Z","Failed","2023-07-01T02:00:00Z","Yes","18","3","1","1","2023-07-13T14:22:08Z","Error"
"1005","webadmin","WebServers","WinDomain","web01.contoso.com","2023-07-15T09:15:32Z","deploy.user","Success","2023-07-16T02:00:00Z","Success","2023-06-28T02:00:00Z","No","36","6","0","0","","OK"
"1006","sqlsvc","SQLServers","MSSql","sql01.contoso.com","2023-07-16T16:42:18Z","db.admin","Success","2023-07-16T02:00:00Z","Success","2023-06-25T02:00:00Z","No","29","4","1","0","","OK"
"1007","backup_user","BackupSystems","WinDomain","backup01.contoso.com","2023-07-12T22:10:05Z","system.backup","Success","2023-07-16T02:00:00Z","Success","2023-06-20T02:00:00Z","No","12","2","0","1","2023-07-11T23:45:12Z","OK"
"1008","monitoring","MonitoringSystems","WinDomain","monitor01.contoso.com","2023-07-16T04:25:56Z","alert.system","Success","2023-07-16T02:00:00Z","Success","2023-07-05T02:00:00Z","No","145","1","0","0","","OK"
"1009","api_user","APIServices","WinDomain","api01.contoso.com","2023-07-15T18:30:42Z","app.service","Success","2023-07-16T02:00:00Z","Success","2023-06-18T02:00:00Z","No","210","3","1","0","","OK"
"1010","network_admin","NetworkDevices","Cisco","router01.contoso.com","2023-07-14T13:20:08Z","net.admin","Failed","2023-07-16T02:00:00Z","Failed","2023-07-02T02:00:00Z","Yes","8","2","3","2","2023-07-14T13:20:08Z","Error"
"1011","test_account","TestEnvironment","WinDomain","test01.contoso.com","2023-07-10T09:45:12Z","test.user","Success","2023-07-16T02:00:00Z","Success","2023-06-10T02:00:00Z","No","5","4","0","0","","OK"
"1012","dev_admin","DevelopmentEnv","WinDomain","dev01.contoso.com","2023-07-16T10:12:34Z","dev.lead","Success","2023-07-16T02:00:00Z","Success","2023-06-22T02:00:00Z","No","47","15","1","1","2023-07-15T16:45:23Z","OK"
"1013","prod_deploy","ProductionEnv","WinDomain","prod01.contoso.com","2023-07-15T22:18:05Z","deploy.admin","Success","2023-07-16T02:00:00Z","Success","2023-07-01T02:00:00Z","No","28","2","5","0","","OK"
"1014","svc_sharepoint","SharePointFarm","WinDomain","sharepoint01.contoso.com","2023-07-13T11:30:45Z","sp.admin","Success","2023-07-16T02:00:00Z","Success","2023-06-15T02:00:00Z","No","16","3","0","0","","OK"
"1015","svc_exchange","ExchangeServers","WinDomain","exchange01.contoso.com","2023-07-14T16:40:22Z","mail.admin","Success","2023-07-16T02:00:00Z","Success","2023-06-28T02:00:00Z","No","23","4","1","1","2023-07-14T15:12:08Z","OK"
"1016","vm_admin","VMwareServers","VMware","vcenter01.contoso.com","2023-07-16T08:55:33Z","infra.admin","Success","2023-07-16T02:00:00Z","Success","2023-06-25T02:00:00Z","No","34","6","2","0","","OK"
"1017","storage_admin","StorageSystems","NetApp","san01.contoso.com","2023-07-15T13:28:50Z","storage.admin","Success","2023-07-16T02:00:00Z","Success","2023-07-05T02:00:00Z","No","19","2","0","0","","OK"
"1018","cloud_admin","CloudServices","AWS","aws-console.contoso.com","2023-07-16T14:15:27Z","cloud.admin","Success","2023-07-16T02:00:00Z","Success","2023-06-20T02:00:00Z","No","56","8","3","1","2023-07-16T09:22:14Z","OK"
"1019","svc_automation","AutomationTools","WinDomain","automation01.contoso.com","2023-07-16T04:10:18Z","auto.system","Success","2023-07-16T02:00:00Z","Success","2023-06-28T02:00:00Z","No","189","1","0","0","","OK"
"1020","security_audit","SecurityTools","WinDomain","security01.contoso.com","2023-07-16T09:45:39Z","audit.admin","Success","2023-07-16T02:00:00Z","Success","2023-07-01T02:00:00Z","No","42","4","1","0","","OK" 
