AccountID,SafeName,AccountName,PlatformID,Address,Username,LastPasswordChange,PasswordLastVerified,PasswordLength,Status,LastLogonDate,CreationDate,RiskScore,RiskFactors,Owner,ManagedBy,ComplianceStatus
1,Infrastructure,DC01-Admin,WinDomain,dc01.company.com,admin,2024-03-15T10:30:45,2024-03-25T08:15:30,16,Active,2024-03-28T09:45:22,2023-01-15T12:00:00,82,"Shared account;Long-term privileges;High privileged",IT Security,PasswordManager,NonCompliant
2,Infrastructure,DC02-Admin,WinDomain,dc02.company.com,admin,2024-03-10T11:20:35,2024-03-20T07:45:15,16,Active,2024-03-27T10:30:15,2023-01-15T12:10:00,76,"Shared account;Long-term privileges",IT Security,PasswordManager,Compliant
3,Database,SQL01-sa,MSSql,sql01.company.com,sa,2024-03-05T09:45:12,2024-03-18T08:20:45,18,Active,2024-03-26T14:25:30,2023-02-10T14:30:00,90,"Default username;Shared account;High privileged;Long-term privileges",DBA Team,PasswordManager,NonCompliant
4,Database,SQL02-sa,MSSql,sql02.company.com,sa,2024-03-18T08:35:25,2024-03-25T07:50:10,18,Active,2024-03-28T11:15:40,2023-02-10T14:45:00,88,"Default username;Shared account;High privileged",DBA Team,PasswordManager,NonCompliant
5,Networking,Router01-admin,CiscoSwitch,router01.company.com,admin,2024-02-25T15:40:55,2024-03-10T09:30:20,14,Active,2024-03-20T16:35:25,2023-03-05T10:15:00,75,"Default username;Long-term privileges",Network Team,PasswordManager,Compliant
6,Networking,Switch01-admin,CiscoSwitch,switch01.company.com,admin,2024-03-01T14:25:30,2024-03-15T10:15:45,14,Active,2024-03-22T13:40:20,2023-03-05T10:30:00,72,"Default username",Network Team,PasswordManager,Compliant
7,Applications,App01-service,WinServerLocal,app01.company.com,svc_app,2024-03-12T16:30:40,2024-03-22T08:45:35,16,Active,2024-03-27T15:20:45,2023-04-10T09:45:00,65,"Long-term privileges",App Team,PasswordManager,Compliant
8,Applications,App02-service,WinServerLocal,app02.company.com,svc_app,2024-03-08T12:15:50,2024-03-18T09:10:25,16,Active,2024-03-25T14:10:35,2023-04-10T10:00:00,58,None,App Team,PasswordManager,Compliant
9,Web,WebSrv01-admin,WinServerLocal,websrv01.company.com,admin,2024-01-15T10:45:20,2024-03-01T08:25:15,15,Active,2024-03-15T11:30:25,2023-05-20T11:30:00,85,"Shared account;Long password age;High privileged",Web Team,PasswordManager,NonCompliant
10,Web,WebSrv02-admin,WinServerLocal,websrv02.company.com,admin,2024-01-20T11:35:45,2024-03-05T09:15:30,15,Active,2024-03-18T10:25:15,2023-05-20T11:45:00,82,"Shared account;Long password age;High privileged",Web Team,PasswordManager,NonCompliant
11,Cloud,AWS-admin,AWSService,aws.company.com,admin,2024-03-25T13:20:35,2024-03-28T07:30:15,20,Active,2024-03-28T12:45:30,2023-06-15T14:00:00,68,"Shared account",Cloud Team,PasswordManager,Compliant
12,Cloud,Azure-admin,AzureService,azure.company.com,admin,2024-03-22T14:15:50,2024-03-28T08:10:25,20,Active,2024-03-28T11:35:20,2023-06-15T14:15:00,70,"Shared account",Cloud Team,PasswordManager,Compliant
13,Production,Prod01-root,UnixSSH,prod01.company.com,root,2024-03-02T15:35:45,2024-03-15T09:45:20,18,Active,2024-03-25T16:20:35,2023-07-10T09:30:00,91,"Root account;High privileged;Long-term privileges",Production Team,PasswordManager,NonCompliant
14,Production,Prod02-root,UnixSSH,prod02.company.com,root,2024-03-05T16:20:30,2024-03-18T08:35:15,18,Active,2024-03-26T15:30:25,2023-07-10T09:45:00,89,"Root account;High privileged",Production Team,PasswordManager,NonCompliant
15,Development,Dev01-admin,WinServerLocal,dev01.company.com,admin,2024-03-15T17:30:40,2024-03-25T10:25:35,14,Active,2024-03-27T14:15:30,2023-08-05T10:15:00,60,"Shared account",Dev Team,PasswordManager,Compliant
16,Development,Dev02-admin,WinServerLocal,dev02.company.com,admin,2024-03-18T18:15:25,2024-03-28T11:10:20,14,Active,2024-03-28T13:25:45,2023-08-05T10:30:00,58,"Shared account",Dev Team,PasswordManager,Compliant
17,Privileged,Domain-Admin,WinDomainPrivileged,company.com,domain_admin,2024-02-10T10:25:35,2024-03-10T07:45:15,20,Active,2024-03-20T09:35:25,2023-09-12T11:00:00,95,"Domain admin;High privileged;Long-term privileges;Password age",IT Security,PasswordManager,NonCompliant
18,Privileged,Enterprise-Admin,WinDomainPrivileged,company.com,enterprise_admin,2024-02-15T11:15:20,2024-03-15T08:30:45,20,Active,2024-03-25T10:20:15,2023-09-12T11:15:00,97,"Enterprise admin;High privileged;Long-term privileges;Password age",IT Security,PasswordManager,NonCompliant
19,Legacy,Legacy01-admin,AS400,legacy01.company.com,admin,2023-10-15T14:45:30,2024-03-15T09:20:15,12,Active,2024-03-10T15:30:25,2022-05-10T10:00:00,92,"Legacy system;Short password;Long password age;High privileged",Legacy Team,PasswordManager,NonCompliant
20,Legacy,Legacy02-admin,AS400,legacy02.company.com,admin,2023-11-10T15:35:45,2024-03-20T10:15:30,12,Active,2024-03-15T16:25:20,2022-05-10T10:15:00,90,"Legacy system;Short password;Long password age",Legacy Team,PasswordManager,NonCompliant 
