AccountID,SafeName,FolderName,Name,UserName,Address,PlatformID,CreationMethod,Disabled,LastPasswordChange,LastPasswordReconcile,PasswordChangeInProcess,ManualManagementReason,ExclusiveManagement,CPMStatus,LastTask,LastTaskStatus,AutomaticManagement,PolicyID,CPMName,DaysFromLastChange,DaysUntilExpiration,Status
1001,Infrastructure,Root,DC01-Admin,admin,dc01.company.com,WinDomain,Regular,False,2024-03-15T10:30:45,2024-03-25T08:15:30,False,,True,Success,Change,Success,True,InfraPolicy,PasswordManager,13,17,OK
1002,Infrastructure,Root,DC02-Admin,admin,dc02.company.com,WinDomain,Regular,False,2024-03-10T11:20:35,2024-03-20T07:45:15,False,,True,Success,Change,Success,True,InfraPolicy,PasswordManager,18,12,OK
1003,Database,Root,SQL01-sa,sa,sql01.company.com,MSSql,Regular,False,2024-03-05T09:45:12,2024-03-18T08:20:45,False,,True,Success,Change,Success,True,DatabasePolicy,PasswordManager,23,7,Warning
1004,Database,Root,SQL02-sa,sa,sql02.company.com,MSSql,Regular,False,2024-03-18T08:35:25,2024-03-25T07:50:10,False,,True,Success,Change,Success,True,DatabasePolicy,PasswordManager,10,20,OK
1005,Networking,Routers,Router01-admin,admin,router01.company.com,CiscoSwitch,Regular,False,2024-02-25T15:40:55,2024-03-10T09:30:20,False,,True,Success,Change,Success,True,NetworkPolicy,PasswordManager,32,-2,Expired
1006,Networking,Switches,Switch01-admin,admin,switch01.company.com,CiscoSwitch,Regular,False,2024-03-01T14:25:30,2024-03-15T10:15:45,False,,True,Success,Change,Success,True,NetworkPolicy,PasswordManager,27,3,Warning
1007,Applications,Services,App01-service,svc_app,app01.company.com,WinServerLocal,Regular,False,2024-03-12T16:30:40,2024-03-22T08:45:35,False,,True,Success,Change,Success,True,AppPolicy,PasswordManager,16,14,OK
1008,Applications,Services,App02-service,svc_app,app02.company.com,WinServerLocal,Regular,False,2024-03-08T12:15:50,2024-03-18T09:10:25,False,,True,Success,Change,Success,True,AppPolicy,PasswordManager,20,10,OK
1009,Web,AdminAccounts,WebSrv01-admin,admin,websrv01.company.com,WinServerLocal,Regular,False,2024-01-15T10:45:20,2024-03-01T08:25:15,False,,True,Success,Change,Success,True,WebPolicy,PasswordManager,73,-43,Expired
1010,Web,AdminAccounts,WebSrv02-admin,admin,websrv02.company.com,WinServerLocal,Regular,False,2024-01-20T11:35:45,2024-03-05T09:15:30,False,,True,Success,Change,Success,True,WebPolicy,PasswordManager,68,-38,Expired
1011,Cloud,AWS,AWS-admin,admin,aws.company.com,AWSService,Regular,False,2024-03-25T13:20:35,2024-03-28T07:30:15,False,,True,Success,Change,Success,True,CloudPolicy,PasswordManager,3,27,OK
1012,Cloud,Azure,Azure-admin,admin,azure.company.com,AzureService,Regular,False,2024-03-22T14:15:50,2024-03-28T08:10:25,False,,True,Success,Change,Success,True,CloudPolicy,PasswordManager,6,24,OK
1013,Production,Root,Prod01-root,root,prod01.company.com,UnixSSH,Regular,False,2024-03-02T15:35:45,2024-03-15T09:45:20,False,,True,Success,Change,Success,True,ProdPolicy,PasswordManager,26,4,Warning
1014,Production,Root,Prod02-root,root,prod02.company.com,UnixSSH,Regular,False,2024-03-05T16:20:30,2024-03-18T08:35:15,False,,True,Success,Change,Success,True,ProdPolicy,PasswordManager,23,7,Warning
1015,Development,AdminAccounts,Dev01-admin,admin,dev01.company.com,WinServerLocal,Regular,False,2024-03-15T17:30:40,2024-03-25T10:25:35,False,,True,Success,Change,Success,True,DevPolicy,PasswordManager,13,17,OK
1016,Development,AdminAccounts,Dev02-admin,admin,dev02.company.com,WinServerLocal,Regular,False,2024-03-18T18:15:25,2024-03-28T11:10:20,False,,True,Success,Change,Success,True,DevPolicy,PasswordManager,10,20,OK
1017,Privileged,DomainAdmins,Domain-Admin,domain_admin,company.com,WinDomainPrivileged,Regular,False,2024-02-10T10:25:35,2024-03-10T07:45:15,False,,True,Success,Change,Success,True,PrivilegedPolicy,PasswordManager,47,-17,Expired
1018,Privileged,EnterpriseAdmins,Enterprise-Admin,enterprise_admin,company.com,WinDomainPrivileged,Regular,False,2024-02-15T11:15:20,2024-03-15T08:30:45,False,,True,Success,Change,Success,True,PrivilegedPolicy,PasswordManager,42,-12,Expired
1019,Legacy,Root,Legacy01-admin,admin,legacy01.company.com,AS400,Regular,False,2023-10-15T14:45:30,2024-03-15T09:20:15,False,"Manual rotation required",False,Failure,Reconcile,Failure,False,LegacyPolicy,PasswordManager,165,-135,Expired
